mm/dd,probabilities
6/16,0.0027280289212746377
6/17,0.0027223203348660002
6/18,0.0027973842260083067
6/19,0.0027631970296568623
6/20,0.0028620922589895925
6/21,0.002799265647444393
6/22,0.0027258258893366563
6/23,0.002722674106418085
6/24,0.0027247002525800238
6/25,0.002806984299489874
6/26,0.0028157481856665146
6/27,0.0028937226518509713
6/28,0.0028701968436373477
6/29,0.0027946666172672936
6/30,0.0027954706435220312
7/1,0.002859438972348958
7/2,0.0029076323060579327
7/3,0.0028196557532645396
7/4,0.002126311752754079
7/5,0.002590427868038837
7/6,0.002834642802652849
7/7,0.0029466919015130873
7/8,0.0028851678125005626
7/9,0.002898321682028071
7/10,0.002909545888544208
7/11,0.002949329107628627
7/12,0.0028736702370578144
7/13,0.0027349757081155707
7/14,0.002824962326545808
7/15,0.0028325523343905312
7/16,0.0028907316741833473
7/17,0.0028989327419816713
7/18,0.0029409029124789765
7/19,0.0028617867290127923
7/20,0.002802449591413154
7/21,0.0028256698696499773
7/22,0.0028080134530959386
7/23,0.0028691033679309045
7/24,0.0028743938606870783
7/25,0.002926205312542372
7/26,0.002866803852842355
7/27,0.002801018424679721
7/28,0.0028004716868264994
7/29,0.002790742969144174
7/30,0.0028459313312693656
7/31,0.002849099194713032
8/1,0.0029468205457138454
8/2,0.0028772561941539446
8/3,0.002785452476388
8/4,0.0027991530837687298
8/5,0.0028051511196290724
8/6,0.002846381585972019
8/7,0.002876950664177144
8/8,0.0029962520798551156
8/9,0.0029188404320489754
8/10,0.0028189321296352757
8/11,0.0028175974460524114
8/12,0.002832632737016005
8/13,0.0028154426556897144
8/14,0.0028966332268931215
8/15,0.0029811846278413323
8/16,0.002929662625437744
8/17,0.0028377463439961366
8/18,0.0028303814635027395
8/19,0.0028072737489415796
8/20,0.0029002674255645356
8/21,0.0028859235971800162
8/22,0.002956163330793897
8/23,0.0028970834815957745
8/24,0.0028119049401688686
8/25,0.0028113903633658365
8/26,0.0028085441104240653
8/27,0.0028902010168552206
8/28,0.0029459843584089184
8/29,0.002976071020861201
8/30,0.0029332646630589685
8/31,0.002852299219206888
9/1,0.0026368684245124834
9/2,0.002667533985868177
9/3,0.0026907542641050005
9/4,0.002774469477748284
9/5,0.002875728544269943
9/6,0.0028279693847385267
9/7,0.002838357403949737
9/8,0.002924179166380433
9/9,0.0029694619250472576
9/10,0.003001719458387332
9/11,0.0028219874294032788
9/12,0.0030717662257000755
9/13,0.002944842641127191
9/14,0.002940726026702934
9/15,0.0029423179986873146
9/16,0.002916444433809857
9/17,0.0029876329184043283
9/18,0.002997200830835706
9/19,0.0030622947964192657
9/20,0.0030251166224001974
9/21,0.002911716759432
9/22,0.0028917447472643167
9/23,0.0028996242045607455
9/24,0.002939150135243648
9/25,0.002943909970671695
9/26,0.0029961555967045472
9/27,0.002935917949699603
9/28,0.002824721118669387
9/29,0.002796917890780559
9/30,0.0027710443259031017
10/1,0.002883784887342414
10/2,0.0028711455946179385
10/3,0.0029183097747208487
10/4,0.002851511273477245
10/5,0.002774228269871863
10/6,0.0027419385754815988
10/7,0.0027284470149271014
10/8,0.002781432345114312
10/9,0.0027626502918036405
10/10,0.0028988523393561976
10/11,0.00280433101284924
10/12,0.0027177052241638064
10/13,0.002610030028129341
10/14,0.002690127123626305
10/15,0.0027727327810380506
10/16,0.0027640010559116
10/17,0.0028305101077034977
10/18,0.002779068507925383
10/19,0.0026765069188710495
10/20,0.0026853512076731633
10/21,0.00267549384579008
10/22,0.0027534683119745367
10/23,0.002749753710677649
10/24,0.0028275995326613474
10/25,0.002787237414673518
10/26,0.0026891944531708093
10/27,0.0026857532208005323
10/28,0.0026952246500813416
10/29,0.002711273014125905
10/30,0.00267972302389
10/31,0.002475468194136449
11/1,0.0028348357689539864
11/2,0.0027412953544778086
11/3,0.002713942381291634
11/4,0.0026957070658341843
11/5,0.002761379930321155
11/6,0.002757070349595761
11/7,0.002824045736615407
11/8,0.0027814484256394067
11/9,0.0026882939437655033
11/10,0.002688567312692114
11/11,0.00271257553665858
11/12,0.002739896348794565
11/13,0.002677375267226166
11/14,0.0028205562626698456
11/15,0.002806534044787221
11/16,0.002726822881892531
11/17,0.0027129936303110437
11/18,0.0027156469169516777
11/19,0.002785902731090653
11/20,0.002861143508009002
11/21,0.002895684475912531
11/22,0.002582242880765608
11/23,0.00238202426281084
11/24,0.0024180124779728967
11/25,0.0024068847546073278
11/26,0.002505201085036647
11/27,0.0024151340639809358
11/28,0.002529321872678776
11/29,0.00268655724705527
11/30,0.0026762335499444386
12/1,0.0027377898000071526
12/2,0.002713186596612181
12/3,0.0027511848774110816
12/4,0.0027308912547415035
12/5,0.0027931068063331023
12/6,0.0027262922245644043
12/7,0.002646018243291398
12/8,0.0026442815465811645
12/9,0.002626239197424852
12/10,0.0027084750027594182
12/11,0.0027139745423418234
12/12,0.0028873226028632596
12/13,0.002714280072318624
12/14,0.0026997271971078724
12/15,0.002711787590928937
12/16,0.002737741558431868
12/17,0.0028339835011239644
12/18,0.002909176036467029
12/19,0.0030019928273139424
12/20,0.0030005134190052253
12/21,0.002888785930646882
12/22,0.00276823023401152
12/23,0.0025005377327591686
12/24,0.0019379605623192388
12/25,0.0015528641473500967
12/26,0.0023817348133591343
12/27,0.002940147127799523
12/28,0.002940935073529166
12/29,0.0029109127331772623
12/30,0.0028746993906638785
12/31,0.0025444214857427492
